track_name,track_artist,decade,track_id,year,track_album_release_date,playlist_genre,Energy,Danceability,Valence,Acousticness,Instrumentalness
Bali,lorleaf,20s,4GTx5ce46I727hO7AmTwf0,2023,2023-08-04,jazz,0.18219920264422257,0.5772198674057167,0.23334029663672445,0.8132523389316233,0.9656912209889
floating,Mozzie,20s,23JhVTYEOlAMp82uiwqCvY,2024,2024-06-26,jazz,0.49989877710719005,0.6772089990218455,0.6187591393357009,0.4016042688346638,0.8879919273461151
That Summer Feeling,Oilix,20s,42UxztZhDlE6Pl3OP5r3iy,2023,2023-08-25,jazz,0.25034926909053734,0.8380610803173568,0.4307499477752245,0.5140544733489552,0.9303733602421796
Crimson,"7apes, Les Jardíns",20s,0lHKUq3vasc9eAKVdMVcG3,2023,2023-11-29,jazz,0.5289627760328243,0.73915878708836,0.9415082515145186,0.3242947532310885,0.581231079717457
Think Twice,Cap Kendricks,20s,5TYagQdQRwe9ivfuKU471K,2023,2023-11-24,jazz,0.41671560776830585,0.8880556461254212,0.7890119072487989,0.1355390527963851,0.8627648839556004
Ripples Of Autumn,Mendeville,20s,4qm6QmmBVo6mRJhskTubLk,2023,2023-11-15,jazz,0.39566926371870864,0.6239539180523856,0.5957802381449759,0.7811237090703972,0.11301715438950555
Aperitif,Jazzy James,20s,16lpRQwZqORZxEqkSCi9SF,2024,2024-01-12,jazz,0.4928833290906577,0.7663297467666559,0.7106747440986003,0.6234926188137565,0.8567103935418768
P_Optimist,Butterscotch,20s,02MFno0s2lpD3rycI7cllL,2024,2024-02-29,jazz,0.29945740520626424,0.7261167264427779,0.14142469187382495,0.12549885596475194,0.5388496468213926
Myth,Ben Jammin' Beats,20s,5TIc53pvTiR7tzz08OwiUj,2023,2023-11-17,jazz,0.5860885670245881,0.6630800999891316,0.29287654063087526,0.1676676826576112,0.6982845610494449
On The Sly,"Monocloud, Lazlow",20s,71Eug4c1AwKUNMcTXwV86x,2024,2024-02-12,jazz,0.3365390590079355,0.6978589283773503,0.6720284102778359,0.6706815439224324,0.9162462159434914
Inappropriately Sleeping,"Hoffy Beats, Tonion, Louk",20s,2RMhe7e13lhoQJA2tSNyvU,2024,2024-03-15,jazz,0.29344416404923646,0.7543745245082056,0.3179444328389388,0.8995980316836685,0.8698284561049445
Tenkodo,lorleaf,20s,4f9IkeqLuVZ5JO1rAwPVsA,2022,2022-08-05,jazz,0.18420361636323182,0.7054667970872731,0.4411949028619177,0.3765037767555809,0.5348133198789102
Circle Reflections,Mindscape,20s,5FIxocSQFn74wY3rJHS7HC,2024,2024-08-16,jazz,0.6341944962808104,0.7087273122486686,0.6030917067056611,0.005809669534853042,0.7880928355196771
Come On Up,"jüle., IONA, Chill Select, Bn Hl",20s,64Nh1ytlxzdLLpmLoc82tS,2024,2024-05-10,jazz,0.3706140922310929,0.42723616998152375,0.06360977647796114,0.256021414775983,0.9283551967709385
Mañana,ron quixote,20s,1Be6BhtTjQfvPZbx5H3k6t,2024,2024-05-31,jazz,0.3706140922310929,0.8032822519291382,0.20096093586797578,0.8172684176642765,0.9021190716448032
Apapane,"Oaty., Chancla",20s,2chNlEOvs5WkpZolh0G0ca,2023,2023-06-23,jazz,0.3225081629748707,0.6956852516030866,0.46521829956131183,0.39256809168619394,0.7951564076690212
Calm Your Mind,"Kimmø, Kid Tarô, Shuko",20s,5Y5INI47aDC5838KKFO07y,2024,2024-02-16,jazz,0.5670466366940001,0.8380610803173568,0.45895132650929593,0.21084052903363376,0.9263370332996973
Low Tide,"Sátyr, Mosalla",20s,7DvFefh4tcbBPuqlLZkYlY,2024,2024-04-08,jazz,0.6672673226444631,0.791327029670688,0.2615416753707959,0.07158299897888187,0.7063572149344096
